Step,Training Loss
2965,0.000600
2970,0.000400
2975,0.000300
2980,0.000800
2985,0.000500
2990,0.000600
2995,0.000400
3000,0.000600
3005,0.000800
3010,0.000900
3015,0.000800
3020,0.000500
3025,0.000700
3030,0.001400
3035,0.000400
3040,0.000400
3045,0.000400
3050,0.000300
3055,0.000200
3060,0.000200
3065,0.000400
3070,0.001200
3075,0.001100
3080,0.000800
3085,0.001100
3090,0.000300
3095,0.000300
3100,0.000800
3105,0.000200
3110,0.000700
3115,0.000400
3120,0.000200
3125,0.000400
3130,0.000100
3135,0.000300
3140,0.000500
3145,0.000400
3150,0.000200
3155,0.000200
3160,0.000300
3165,0.000500
3170,0.000400
3175,0.000400
3180,0.000500
3185,0.000400
3190,0.000200
3195,0.000200
3200,0.000700
3205,0.000800
3210,0.000100
3215,0.000100
3220,0.000800
3225,0.001300
3230,0.000400
3235,0.001800
3240,0.000800
3245,0.000300
3250,0.000400
3255,0.001300
3260,0.000400
3265,0.002300
3270,0.000200
3275,0.000200
3280,0.000600
3285,0.000900
3290,0.000600
3295,0.000200
3300,0.000300
3305,0.000800
3310,0.000500
3315,0.000500
3320,0.001200
3325,0.000700
3330,0.000200
3335,0.000500
3340,0.000800
3345,0.000900
3350,0.000900
3355,0.000400
3360,0.000100
3365,0.000300
3370,0.001400
3375,0.000200
3380,0.000300
3385,0.000600
3390,0.000300
3395,0.001200
3400,0.000900
3405,0.000300
3410,0.000300
3415,0.000400
3420,0.001000
3425,0.000800
3430,0.001400
3435,0.000200
3440,0.000900
3445,0.000200
3450,0.000300
3455,0.000500
3460,0.001200
3465,0.000600
3470,0.000400
3475,0.000600
3480,0.000200
3485,0.000500
3490,0.000200
3495,0.000400
3500,0.000100
3505,0.000500
3510,0.000400
3515,0.000200
3520,0.000700
3525,0.000600
3530,0.000300
3535,0.000300
3540,0.000300
3545,0.000800
3550,0.000400
3555,0.001000
3560,0.000700
3565,0.000800
3570,0.000300
3575,0.000400
3580,0.000300
3585,0.000700
3590,0.000100
3595,0.000200
3600,0.001400
3605,0.000800
3610,0.000800
3615,0.000600
3620,0.001100
3625,0.001100
3630,0.000500
3635,0.000900
3640,0.001600
3645,0.001400
3650,0.000400
3655,0.000400
3660,0.000700
3665,0.000500
3670,0.000200
3675,0.000500
3680,0.000200
3685,0.000600
3690,0.000300
3695,0.000200
3700,0.000400
3705,0.000500
3710,0.001400
3715,0.000400
3720,0.000300
3725,0.001000
3730,0.000600
3735,0.000200
3740,0.000100
3745,0.000100
3750,0.000500
